2021-05-24 15:53:11,013 - status : standby
2021-05-24 15:53:49,746 - while
2021-05-24 15:53:49,746 - status : standby
2021-05-24 15:54:28,628 - while
2021-05-24 15:54:28,629 - status : standby
2021-05-24 15:55:07,727 - while
2021-05-24 15:55:07,727 - status : standby
2021-05-24 15:55:46,882 - while
2021-05-24 15:55:46,882 - status : standby
2021-05-24 15:56:25,877 - while
2021-05-24 15:56:25,877 - status : standby
2021-05-24 15:57:04,653 - while
2021-05-24 15:57:04,653 - status : standby
2021-05-24 15:57:43,731 - while
2021-05-24 15:57:43,731 - status : standby
2021-05-24 15:58:22,694 - while
2021-05-24 15:58:22,694 - status : standby
2021-05-24 15:59:01,397 - while
2021-05-24 15:59:01,397 - status : standby
2021-05-24 15:59:40,447 - while
2021-05-24 15:59:40,447 - status : standby
2021-05-24 16:00:20,170 - while
2021-05-24 16:00:20,171 - status : standby
2021-05-24 16:00:59,391 - while
2021-05-24 16:00:59,391 - status : standby
2021-05-24 16:01:38,656 - while
2021-05-24 16:01:38,657 - status : standby
2021-05-24 16:02:17,754 - while
2021-05-24 16:02:17,754 - status : standby
2021-05-24 16:02:56,882 - while
2021-05-24 16:02:56,882 - status : standby
2021-05-24 16:03:35,960 - while
2021-05-24 16:03:35,960 - status : standby
2021-05-24 16:04:15,051 - while
2021-05-24 16:04:15,051 - status : standby
2021-05-24 16:04:54,825 - while
2021-05-24 16:04:54,825 - status : standby
2021-05-24 16:05:34,909 - while
2021-05-24 16:05:34,910 - status : standby
2021-05-24 16:06:15,100 - while
2021-05-24 16:06:15,101 - status : standby
2021-05-24 16:06:55,144 - while
2021-05-24 16:06:55,145 - status : standby
2021-05-24 16:07:35,325 - while
2021-05-24 16:07:35,325 - status : standby
2021-05-24 16:08:16,066 - while
2021-05-24 16:08:16,066 - status : standby
2021-05-24 16:08:56,272 - while
2021-05-24 16:08:56,273 - status : standby
2021-05-24 16:09:36,386 - while
2021-05-24 16:09:36,386 - status : standby
2021-05-24 16:10:16,519 - while
2021-05-24 16:10:16,519 - status : standby
2021-05-24 16:10:56,862 - while
2021-05-24 16:10:56,862 - status : standby
2021-05-24 16:11:37,080 - while
2021-05-24 16:11:37,081 - status : standby
2021-05-24 16:12:17,235 - while
2021-05-24 16:12:17,235 - status : standby
2021-05-24 16:12:57,240 - while
2021-05-24 16:12:57,241 - status : standby
2021-05-24 16:13:37,323 - while
2021-05-24 16:13:37,323 - status : standby
2021-05-24 16:14:17,518 - while
2021-05-24 16:14:17,518 - status : standby
2021-05-24 16:14:57,222 - while
2021-05-24 16:14:57,222 - status : standby
2021-05-24 16:15:37,123 - while
2021-05-24 16:15:37,123 - status : standby
2021-05-24 16:16:17,349 - while
2021-05-24 16:16:17,349 - status : standby
2021-05-24 16:16:57,512 - while
2021-05-24 16:16:57,512 - status : standby
2021-05-24 16:17:37,568 - while
2021-05-24 16:17:37,568 - status : standby
2021-05-24 16:18:17,436 - while
2021-05-24 16:18:17,436 - status : standby
2021-05-24 16:18:57,393 - while
2021-05-24 16:18:57,393 - status : standby
2021-05-24 16:19:37,446 - while
2021-05-24 16:19:37,447 - status : standby
2021-05-24 16:20:17,336 - while
2021-05-24 16:20:17,336 - status : standby
2021-05-24 16:20:57,390 - while
2021-05-24 16:20:57,390 - status : standby
2021-05-24 16:21:37,638 - while
2021-05-24 16:21:37,638 - status : standby
2021-05-24 16:22:17,730 - while
2021-05-24 16:22:17,730 - status : standby
2021-05-24 16:22:57,789 - while
2021-05-24 16:22:57,789 - status : standby
2021-05-24 16:23:37,985 - while
2021-05-24 16:23:37,985 - status : standby
2021-05-24 16:24:17,973 - while
2021-05-24 16:24:17,974 - status : standby
2021-05-24 16:24:58,353 - while
2021-05-24 16:24:58,353 - status : standby
2021-05-24 16:25:38,682 - while
2021-05-24 16:25:38,682 - status : standby
2021-05-24 16:26:18,879 - while
2021-05-24 16:26:18,879 - status : standby
2021-05-24 16:26:58,830 - while
